LatD	 LatM	 NS	 City	 LonD	 LonS	 LonM	 State	 EW	 LatS
   39	   47	" ""N"""	" ""Springfield"""	     89	    0	   39	 IL	" ""W"""	   59
   47	   40	" ""N"""	" ""Spokane"""	    117	   36	   24	 WA	" ""W"""	   11
   41	   40	" ""N"""	" ""South Bend"""	     86	    0	   15	 IN	" ""W"""	   48
   43	   32	" ""N"""	" ""Sioux Falls"""	     96	   48	   43	 SD	" ""W"""	   24
   42	   29	" ""N"""	" ""Sioux City"""	     96	   23	   23	 IA	" ""W"""	   24
   32	   30	" ""N"""	" ""Shreveport"""	     93	    0	   45	 LA	" ""W"""	   35
   33	   38	" ""N"""	" ""Sherman"""	     96	   36	   36	 TX	" ""W"""	   23
   44	   47	" ""N"""	" ""Sheridan"""	    106	   35	   57	 WY	" ""W"""	   59
   35	   13	" ""N"""	" ""Seminole"""	     96	   48	   40	 OK	" ""W"""	   47
   32	   25	" ""N"""	" ""Selma"""	     87	   11	    1	 AL	" ""W"""	   11
   38	   42	" ""N"""	" ""Sedalia"""	     93	   48	   13	 MO	" ""W"""	   35
   47	   35	" ""N"""	" ""Seattle"""	    122	   48	   19	 WA	" ""W"""	   59
   41	   24	" ""N"""	" ""Scranton"""	     75	   11	   40	 PA	" ""W"""	   35
   41	   52	" ""N"""	" ""Scottsbluff"""	    103	   36	   39	 NB	" ""W"""	   11
   42	   49	" ""N"""	" ""Schenectady"""	     73	   59	   56	 NY	" ""W"""	   11
   32	    4	" ""N"""	" ""Savannah"""	     81	   23	    5	 GA	" ""W"""	   48
   46	   29	" ""N"""	" ""Sault Sainte Marie"""	     84	   59	   20	 MI	" ""W"""	   24
   27	   20	" ""N"""	" ""Sarasota"""	     82	   47	   31	 FL	" ""W"""	   24
   38	   26	" ""N"""	" ""Santa Rosa"""	    122	   12	   43	 CA	" ""W"""	   23
   35	   40	" ""N"""	" ""Santa Fe"""	    105	   59	   56	 NM	" ""W"""	   48
   34	   25	" ""N"""	" ""Santa Barbara"""	    119	   59	   41	 CA	" ""W"""	   11
   33	   45	" ""N"""	" ""Santa Ana"""	    117	   12	   52	 CA	" ""W"""	   35
   37	   20	" ""N"""	" ""San Jose"""	    121	   47	   52	 CA	" ""W"""	   24
   37	   46	" ""N"""	" ""San Francisco"""	    122	   11	   25	 CA	" ""W"""	   47
   41	   27	" ""N"""	" ""Sandusky"""	     82	   35	   42	 OH	" ""W"""	    0
   32	   42	" ""N"""	" ""San Diego"""	    117	    0	    9	 CA	" ""W"""	   35
   34	    6	" ""N"""	" ""San Bernardino"""	    117	   35	   18	 CA	" ""W"""	   36
   29	   25	" ""N"""	" ""San Antonio"""	     98	    0	   30	 TX	" ""W"""	   12
   31	   27	" ""N"""	" ""San Angelo"""	    100	   24	   26	 TX	" ""W"""	   35
   40	   45	" ""N"""	" ""Salt Lake City"""	    111	   47	   52	 UT	" ""W"""	   35
   38	   22	" ""N"""	" ""Salisbury"""	     75	   59	   35	 MD	" ""W"""	   11
   36	   40	" ""N"""	" ""Salinas"""	    121	    0	   39	 CA	" ""W"""	   11
   38	   50	" ""N"""	" ""Salina"""	     97	   36	   36	 KS	" ""W"""	   24
   38	   31	" ""N"""	" ""Salida"""	    106	    0	    0	 CO	" ""W"""	   47
   44	   56	" ""N"""	" ""Salem"""	    123	   47	    1	 OR	" ""W"""	   23
   44	   57	" ""N"""	" ""Saint Paul"""	     93	   59	    5	 MN	" ""W"""	    0
   38	   37	" ""N"""	" ""Saint Louis"""	     90	   24	   11	 MO	" ""W"""	   11
   39	   46	" ""N"""	" ""Saint Joseph"""	     94	   23	   50	 MO	" ""W"""	   12
   42	    5	" ""N"""	" ""Saint Joseph"""	     86	   48	   28	 MI	" ""W"""	   59
   44	   25	" ""N"""	" ""Saint Johnsbury"""	     72	   11	    1	 VT	" ""W"""	   11
   45	   34	" ""N"""	" ""Saint Cloud"""	     94	   11	   10	 MN	" ""W"""	   11
   29	   53	" ""N"""	" ""Saint Augustine"""	     81	   11	   19	 FL	" ""W"""	   23
   43	   25	" ""N"""	" ""Saginaw"""	     83	   24	   56	 MI	" ""W"""	   48
   38	   35	" ""N"""	" ""Sacramento"""	    121	   23	   29	 CA	" ""W"""	   24
   43	   36	" ""N"""	" ""Rutland"""	     72	   12	   58	 VT	" ""W"""	   36
   33	   24	" ""N"""	" ""Roswell"""	    104	   47	   31	 NM	" ""W"""	    0
   35	   56	" ""N"""	" ""Rocky Mount"""	     77	    0	   48	 NC	" ""W"""	   23
   41	   35	" ""N"""	" ""Rock Springs"""	    109	   48	   13	 WY	" ""W"""	   24
   42	   16	" ""N"""	" ""Rockford"""	     89	   59	    5	 IL	" ""W"""	   12
   43	    9	" ""N"""	" ""Rochester"""	     77	   36	   36	 NY	" ""W"""	   35
   44	    1	" ""N"""	" ""Rochester"""	     92	   35	   27	 MN	" ""W"""	   12
   37	   16	" ""N"""	" ""Roanoke"""	     79	   24	   56	 VA	" ""W"""	   12
   37	   32	" ""N"""	" ""Richmond"""	     77	   59	   26	 VA	" ""W"""	   24
   39	   49	" ""N"""	" ""Richmond"""	     84	   23	   53	 IN	" ""W"""	   48
   38	   46	" ""N"""	" ""Richfield"""	    112	   23	    5	 UT	" ""W"""	   12
   45	   38	" ""N"""	" ""Rhinelander"""	     89	   11	   25	 WI	" ""W"""	   23
   39	   31	" ""N"""	" ""Reno"""	    119	   35	   48	 NV	" ""W"""	   12
   50	   25	" ""N"""	" ""Regina"""	    104	    0	   39	 SA	" ""W"""	   11
   40	   10	" ""N"""	" ""Red Bluff"""	    122	   23	   14	 CA	" ""W"""	   48
   40	   19	" ""N"""	" ""Reading"""	     75	   48	   55	 PA	" ""W"""	   48
   41	    9	" ""N"""	" ""Ravenna"""	     81	   23	   14	 OH 	" ""W"""	   35
